PhraseId,Obs,features
1490,relic,2
1502,silly rather plausible,1
1503,silly rather,1
1519,film refreshing,2
1523,lead performances oscar size,4
1539,mark pellington latest pop thriller kooky overeager spooky subtly love myth,3
1540,mark pellington latest pop thriller,2
1545,latest pop thriller,2
1546,pop thriller,2
1553,kooky overeager,1
1556,overeager,1
1569,claude chabrol camera way gently swaying back forth cradles characters veiling tension beneath otherwise tender movements,3
1570,claude chabrol camera,2
1584,swaying back forth cradles characters veiling tension beneath otherwise tender movements,3
1585,swaying back forth,2
1586,swaying,2
1596,cradles,2
1598,veiling tension beneath otherwise tender movements,3
1599,veiling tension,1
1600,veiling,2
1602,beneath otherwise tender movements,3
1604,otherwise tender movements,2
1606,tender movements,3
1608,movements,2
1611,transforms one lrb shakespeare rrb deepest tragedies,3
1612,transforms one,2
1613,transforms,2
1616,lrb shakespeare rrb,2
1617,shakespeare rrb,2
1620,deepest tragedies,1
1627,new comedy,2
1628,screenplay james eric james horton director peter fallon pat makes teeth hurt,1
1629,screenplay james eric james horton director peter fallon,2
1640,james horton,2
1641,horton,2
1642,director peter fallon,2
1644,peter fallon,2
1655,teeth hurt,2
1661,arriving particularly dark moment history,2
1662,arriving,2
1667,particularly dark,2
1676,flickering reminders ties bind us,3
1677,flickering reminders ties,2
1678,flickering reminders,2
1680,reminders,2
1695,lack intrigue lrb funny accents rrb,1
1697,intrigue lrb funny accents rrb,2
1699,lrb funny accents rrb,2
1700,funny accents rrb,2
1708,action scenes poorly delivered,1
1712,poorly delivered,1
1716,characters deeply thought right thinking films,3
1723,thought right thinking films,3
1732,right thinking,2
1735,film despite gratuitous cinematic distractions impressed upon still good fun,3
1738,despite gratuitous cinematic distractions impressed upon,2
1739,gratuitous cinematic distractions impressed upon,2
1743,cinematic distractions,2
1744,distractions,1
1745,impressed upon,2
1755,downright transparent script endless assault embarrassingly ham fisted sex jokes reek script rewrite designed garner film cooler pg rating,0
1756,downright transparent,1
1758,transparent,2
1763,script endless assault,1
1766,endless assault,0
1771,embarrassingly ham fisted,1
1772,embarrassingly,1
1774,sex jokes,2
1779,reek script,1
1780,reek,2
1783,rewrite designed garner film cooler pg rating,2
1784,rewrite,2
1785,designed garner film cooler pg rating,2
1789,garner,2
1790,film cooler pg rating,2
1794,cooler,2
1839,lunatic,2
1846,many things stoner midnight flick sci fi deconstruction gay fantasia love story sanguine title,3
1860,stoner,2
1861,midnight flick,2
1863,sci fi deconstruction,2
1865,deconstruction,2
1866,gay fantasia,2
1868,fantasia,2
1876,love story sanguine,1
1883,funny romantic comedy two skittish new york middle agers stumble relationship struggle furiously fears foibles,3
1884,funny romantic comedy two skittish new york middle agers stumble relationship,3
1891,two skittish new york middle agers,2
1893,skittish new york middle agers,2
1894,skittish,2
1895,new york middle agers,2
1896,york middle agers,2
1898,middle agers,2
1909,struggle furiously,1
1911,furiously,1
1930,say something,2
1938,lrb scherfig rrb made movie leave wondering characters lives clever credits roll,3
1939,lrb scherfig rrb,2
1940,scherfig rrb,2
1945,movie leave wondering characters lives clever credits roll,3
1953,wondering characters lives,2
1970,absorbing documentary,3
1973,reeks rot hack work start finish,2
1974,reeks rot hack,1
1975,reeks,1
1980,hack,1
1983,work start,2
1988,like series vignettes,2
1989,series vignettes,2
1992,clips film still looking common line,1
1999,looking common line,2
2007,contrived pastiche caper,2
2008,contrived pastiche,2
2013,major problem windtalkers bulk movie centers wrong character,1
2014,major problem windtalkers,1
2024,bulk movie,2
2028,centers wrong character,2
2029,centers,3
2034,swimfan like fatal attraction eventually goes overboard loony melodramatic denouement high school swimming pool substitutes bathtub,2
2039,like fatal attraction,2
2042,eventually goes overboard loony melodramatic denouement high school swimming pool substitutes bathtub,1
2046,goes overboard,1
2048,overboard,1
2053,loony,1
2054,melodramatic denouement,1
2056,denouement,1
2061,school swimming,2
2064,pool substitutes bathtub,2
2066,substitutes bathtub,2
2085,involving one,2
2087,unsettling memorable cinematic experience predecessors proud,4
2123,richer ones,2
2128,hollywood action screenwriters usually come,2
2129,hollywood action screenwriters,2
2131,action screenwriters,2
2133,usually come,2
2147,phillip noyce actors well cinematographer christopher doyle,2
2148,phillip noyce actors,2
2151,phillip,2
2161,cinematographer christopher doyle,2
2165,christopher doyle,2
2167,doyle,2
2168,understand delicate forcefulness greene prose,2
2170,delicate forcefulness greene prose,3
2174,forcefulness,2
2195,pianist lacks quick emotional connections steven spielberg schindler list,2
2201,quick emotional connections steven spielberg schindler list,3
2214,schindler list,2
2224,intoxicatingly sexy violent self indulgent maddening,3
2225,intoxicatingly,2
2226,sexy violent self indulgent maddening,1
2244,written flatly david kendall directed barely something mary co writer ed decter,1
2245,written flatly david kendall directed barely,1
2255,kendall,2
2269,co writer ed decter,2
2271,ed decter,2
2273,decter,2
2274,highly recommended viewing courage ideas technical proficiency great acting,4
2279,viewing courage ideas technical proficiency great acting,3
2291,technical proficiency,3
2293,proficiency,3
2294,great acting,4
2297,imax short wonderful big screen,4
2319,us slice life different yet instantly recognizable,3
2320,slice life different yet instantly recognizable,2
2333,yet instantly recognizable,2
2338,amid shock curiosity factors film corny examination young actress trying find way,1
2339,amid shock curiosity factors,2
2347,factors,2
2362,trying find way,2
2378,solving one problem trying distract us solution another,2
2379,solving one problem,2
2380,solving,2
2386,distract us,2
2407,dummies,2
2409,even non techies enjoy,3
2410,non techies enjoy,3
2411,non techies,2
2416,entertains much,1
2428,comic antics,2
2440,disney scrape bottom cracker barrel,0
2441,disney scrape,1
2443,scrape,2
2444,bottom cracker barrel,2
2451,cracker,2
2453,writer director burr steers emphasizes q quirky mixed results,3
2456,burr steers,2
2457,burr,2
2464,q quirky,3
2473,scarcely worth mention apart reporting number tumbleweeds blowing empty theatres graced company,0
2474,scarcely worth mention apart reporting number tumbleweeds blowing empty theatres,0
2475,scarcely worth mention,0
2476,scarcely worth,0
2480,apart reporting number tumbleweeds blowing empty theatres,0
2490,tumbleweeds,1
2491,blowing empty theatres,2
2500,graced,3
2506,invigorating surreal resonant rainbow,4
2507,invigorating surreal resonant,3
2546,makes second guess affection original,2
2549,second guess affection,2
2550,second guess,2
2556,report card n live exalted tagline definite room improvement,1
2563,n live exalted tagline,1
2564,live exalted tagline,2
2576,definite room,2
2577,definite,2
2590,particularly good,4
2591,neither monsterous one,2
2598,tsai may ploughing furrow often,2
2605,ploughing furrow,1
2606,ploughing,2
2614,lrb green rrb comedy equivalent saddam hussein ready go u n ask permission preemptive strike,1
2615,green rrb comedy equivalent saddam hussein ready go u n ask permission preemptive strike,1
2623,comedy equivalent saddam hussein,1
2628,saddam hussein,2
2629,saddam,2
2630,hussein,2
2645,ask permission preemptive strike,2
2646,ask permission,2
2648,permission,2
2652,preemptive,2
2656,surprisingly solid achievement director,3
2659,surprisingly solid,3
2666,malcolm lee writer john ridley,2
2673,writer john ridley,2
2675,john ridley,2
2677,ridley,2
2678,massoud story epic also tragedy record tenacious humane fighter also prisoner lrb ultimately victim rrb history,2
2679,massoud story,2
2685,epic also,3
2689,tragedy record tenacious humane fighter also prisoner lrb ultimately victim rrb history,2
2692,record tenacious humane fighter also prisoner lrb ultimately victim rrb history,3
2699,tenacious,3
2703,fighter,2
2708,prisoner lrb ultimately victim rrb history,2
2709,prisoner lrb ultimately victim rrb,2
2712,lrb ultimately victim rrb,2
2715,victim rrb,1
2719,changing lanes tries,3
2720,changing lanes,2
2722,lanes,2
2727,shyamalan stop trying please mom,1
2733,trying please mom,3
2739,macabre stylized swedish fillm modern city religious civic virtues hold society place tatters,3
2746,stylized swedish fillm modern city,3
2747,stylized swedish fillm,3
2749,swedish fillm,2
2751,fillm,2
2759,religious civic virtues hold society place,2
2766,civic,2
2771,society place,2
2777,one recent memory thoughtful films art ethics cost moral compromise,4
2778,one recent memory,2
2786,thoughtful films,3
2797,cost moral compromise,2
2803,compromise,2
2804,narrative consistently unimaginative probably way saved film aid wisecracking mystery science theater guys,2
2815,probably way,2
2823,film aid wisecracking mystery science theater guys,2
2832,wisecracking,2
2833,mystery science theater guys,2
2835,science theater guys,2
2837,theater guys,2
2841,filmmaker tian zhuangzhuang triumphantly returns narrative filmmaking visually masterful work quiet power,4
2842,filmmaker tian zhuangzhuang,2
2843,tian zhuangzhuang,2
2845,zhuangzhuang,2
2846,triumphantly returns narrative filmmaking visually masterful work quiet power,4
2847,triumphantly,3
2853,filmmaking visually masterful work quiet power,4
2859,visually masterful,4
2867,mawkish self parody plays like weird masterpiece theater sketch neither,1
2874,like weird masterpiece theater sketch neither,2
2875,weird masterpiece theater sketch neither,1
2879,masterpiece theater sketch,2
2881,theater sketch,2
2884,point view compelling reason,2
2899,takes one character,2
2900,one character,2
2903,another n believe puts battle wills impossible care n funny,0
2905,n believe puts battle wills impossible care n funny,1
2910,puts battle wills impossible care n funny,1
2935,appreciate one sided theme,2
2945,indulgent tirade,1
2947,tirade,2
2957,enjoy big screen postcard self glorified martin lawrence lovefest,1
2958,big screen postcard self glorified martin lawrence lovefest,1
2961,screen postcard,2
2967,self glorified,2
2968,martin lawrence lovefest,2
2970,lawrence lovefest,2
2971,lovefest,3
2972,whole film sneaky feel director trying dupe viewer taking important simply movie ugly look hollywood product,0
2993,dupe viewer taking important,1
2994,dupe viewer,1
2995,dupe,1
3006,simply movie ugly look hollywood product,0
3022,whenever threatens get bogged earnest dramaturgy stirring visual sequence like surge swirling rapids leap pinnacle pinnacle rouses us,3
3023,whenever threatens get bogged earnest dramaturgy,1
3031,bogged earnest dramaturgy,0
3036,dramaturgy,1
3039,stirring visual sequence like surge swirling rapids leap pinnacle pinnacle,3
3043,visual sequence,2
3045,like surge swirling rapids leap pinnacle pinnacle,3
3046,surge swirling rapids leap pinnacle pinnacle,2
3053,swirling,3
3054,rapids,2
3055,leap pinnacle pinnacle,4
3064,rouses,2
3065,swinging film makes seem hobby attracts young fit,1
3067,film makes seem hobby attracts young fit,2
3071,makes seem,3
3082,attracts,2
3098,unprepared,2
3099,devos delivers perfect performance captures innocence budding demons within wallflower,3
3104,perfect performance captures innocence budding demons within wallflower,4
3111,innocence budding demons within wallflower,2
3115,budding demons within wallflower,2
3116,budding demons,2
3117,budding,2
3119,within wallflower,3
3123,years russian history culture compressed evanescent seamless sumptuous stream consciousness,4
3124,years russian history culture,3
3131,history culture,2
3136,compressed,2
3141,evanescent,2
3147,sumptuous,3
3158,want nothing else show us good time,3
3159,want nothing else,2
3169,cheap b movie way succeed,3
3177,movie way,2
3185,mr polanski,2
3192,alone abandoned still consoled art ever revealed source spiritual survival,2
3199,still consoled art ever revealed source spiritual survival,3
3200,consoled art ever revealed source spiritual survival,2
3201,consoled,2
3214,revealed source spiritual survival,3
3225,survival,2
3238,endure last summer hopefully sets tone summer good stuff,2
3249,hopefully sets tone summer good stuff,4
3254,tone summer good stuff,3
3263,absorbing character,2
3267,violent vulgar forgettably,0
3272,forgettably,1
3284,war ravaged,2
3288,prove potent riveting,3
3316,narcissistic,1
3317,achieving honest insight relationships high concept films candy coat pat storylines precious circumstances beautiful stars,3
3318,achieving honest insight relationships,3
3319,achieving honest insight,3
3320,achieving,2
3331,high concept,3
3332,candy coat pat storylines precious circumstances beautiful stars,3
3333,candy coat,2
3341,precious circumstances,3
3344,beautiful stars,3
3347,mostly martha mostly unsurprising still sweet even delectable diversion,3
3363,sweet even delectable,4
3374,thoughtful surprisingly affecting,4
3376,surprisingly affecting,3
3386,dared mess,2
3394,seen eyes idealistic kid chooses champion ultimately losing cause,2
3414,losing cause,2
3415,losing,1
3417,keenly observed refreshingly natural swimming gets details right promenade barely clad bodies myrtle beach c adrenaline jolt sudden lunch rush diner,3
3418,keenly observed refreshingly natural,3
3423,refreshingly natural,3
3430,gets details,2
3433,right promenade barely clad bodies myrtle beach c adrenaline jolt sudden lunch rush diner,3
3442,barely clad bodies,2
3443,barely clad,2
3444,clad,2
3450,myrtle,2
3465,lunch rush,2
3498,film hews world carries us effortlessly darkness light,4
3506,carries us effortlessly darkness light,3
3507,carries us effortlessly darkness,3
3508,carries us effortlessly,3
3509,carries us,2
3516,everyone involved seems coasting,1
3529,fascinating dark thriller keeps hooked delicious pulpiness lurid fiction,3
3530,fascinating dark thriller keeps,4
3539,hooked,3
3545,pulpiness,2
3557,kind production,2
3575,released outtakes,2
3579,theatrically,2
3580,used film bonus feature dvd,1
3581,used film bonus feature,2
3583,film bonus feature,2
3591,hard say might enjoy tolstoy groupies,1
3606,tolstoy,2
3610,daughter danang reveals efforts toward closure open new wounds,1
3612,danang reveals efforts toward closure open new wounds,2
3620,efforts toward closure,2
3622,toward closure,2
3628,new wounds,2
3630,one year weirdly engaging unpredictable character pieces,4
3637,engaging unpredictable character pieces,3
3641,character pieces,2
3649,although fairly involving far goes film n end much fresh say growing catholic really anything,1
3650,although fairly involving far goes,3
3652,fairly involving far goes,3
3654,involving far goes,2
3655,involving far,2
3663,end much fresh say growing catholic really anything,2
3679,catholic really anything,2
3680,catholic really,2
3695,comprehension,2
3696,even n silly would still beyond comprehension,1
3697,even n silly,2
3706,would still,2
3713,poor editing bad bluescreen ultra cheesy dialogue highlight radical action,0
3714,poor editing bad bluescreen ultra cheesy dialogue,0
3722,bad bluescreen,0
3723,bluescreen,2
3724,ultra cheesy dialogue,1
3725,ultra cheesy,1
3728,highlight,3
3731,radical,2
3732,lrb cho face rrb amazing slapstick instrument creating scrapbook living mug shots,3
3733,cho face rrb amazing slapstick instrument creating scrapbook living mug shots,3
3743,amazing slapstick instrument,3
3748,instrument,2
3749,creating scrapbook living mug shots,2
3751,scrapbook living mug shots,2
3757,mug shots,1
3765,details time frame right,2
3769,frame right,2
3774,misses emotions,1
3782,initial strangeness,1
3784,strangeness,2
3785,inexorably gives way rote sentimentality,1
3787,gives way rote sentimentality,2
3788,gives way,2
3793,mystical tenderness becomes narrative expedience,2
3794,mystical tenderness,2
3795,mystical,3
3797,becomes narrative expedience,2
3798,narrative expedience,2
3799,expedience,3
3817,without making less psycho,2
3819,making less psycho,2
3824,like world film hartley created monster n know handle,1
3825,like world film,2
3826,world film,2
3840,n know handle,2
3843,know handle,2
3848,cowering begging feet scruffy giannini madonna gives best performance since abel ferrara beaten pulp dangerous game,4
3851,cowering begging feet,2
3852,cowering begging,2
3859,scruffy giannini,2
3862,giannini,2
3868,gives best performance,2
3869,gives best,3
3871,since abel ferrara beaten pulp dangerous game,2
3873,abel ferrara beaten pulp dangerous game,2
3874,abel ferrara,2
3875,abel,2
3890,clumsy key moments make big splash,1
3891,clumsy key moments,1
3905,eight legged freaks partly homage tarantula low budget b movie thrillers movie silly lrb sophomoric rrb romp horror hellish conditions,2
3911,legged,2
3912,freaks,2
3913,partly homage tarantula low budget b movie thrillers,2
3916,homage tarantula low budget b movie thrillers,3
3932,b movie thrillers,3
3948,silly lrb sophomoric rrb,2
3949,lrb sophomoric rrb,2
3950,sophomoric rrb,3
3960,conditions,2
3966,like light errol morris,2
3967,light errol morris,2
3972,focusing eccentricity failing ultimately make something bigger scrapbook oddballs,1
3978,failing ultimately make something bigger scrapbook oddballs,1
3994,spielberg realization near future america masterful,4
3995,spielberg realization near future america,2
3996,spielberg realization,2
4014,law discerned producers would well heed,1
4015,law,2
4024,would well heed,2
4025,well heed,2
4029,mediocre movies start drag soon action speeds,1
4030,mediocre movies,1
4032,start drag soon action speeds,1
4036,soon action speeds,2
4044,explosions start fall pieces,1
4070,seems aware coolness,3
4071,aware coolness,3
4077,feels like work artist simply tired fighting fights putting weight world shoulders playing narrative form,1
4080,work artist simply tired fighting fights putting weight world shoulders playing narrative form,2
4105,weight world shoulders,2
4124,director cut film love song movies also fully example kind lush enveloping movie experience rhapsodizes,3
4145,fully example kind lush enveloping movie experience rhapsodizes,3
4149,example kind lush enveloping movie experience rhapsodizes,3
4150,example kind lush enveloping movie experience,4
4161,movie experience,2
4169,capability soothe break heart single stroke,3
4173,soothe break heart,2
4174,soothe break,3
4187,eerily accurate depiction,3
4188,eerily accurate,3
4189,eerily,2
4194,feature length film wears welcome tryingly title character,1
4207,welcome tryingly title,2
4210,tryingly,2
4218,uncluttered,3
4224,relays universal points,2
4225,relays,2
4230,without lectures confrontations,3
4231,lectures confrontations,2
4234,confrontations,1
4235,story alone could force scratch hole head,1
4237,alone could force scratch hole head,1
4240,force scratch hole head,1
4256,filmmakers post camp comprehension,2
4259,post camp comprehension,2
4260,post camp,2
4264,old time b movies good bad makes eight legged freaks perfectly entertaining summer diversion,3
4265,old time b movies,2
4267,b movies,1
4268,good bad makes eight legged freaks perfectly entertaining summer diversion,3
4272,makes eight legged freaks,2
4275,perfectly entertaining,3
4277,summer diversion,2
4278,creature feature fan knows cross toxic chemicals bunch exotic creatures get lot running around screaming death,2
4283,creature feature,2
4285,knows cross toxic chemicals bunch exotic creatures,2
4291,cross toxic chemicals,2
4293,toxic chemicals,2
4295,chemicals,2
4308,lot running around screaming death,1
4330,rather convoluted journey worth taking,3
4333,rather convoluted,1
4337,takes sudden turn devolves bizarre sort romantic comedy steven shainberg adaptation mary gaitskill harrowing short story brilliantly played deeply unsettling experience,3
4341,takes sudden turn devolves,1
4344,turn devolves,1
4347,devolves,1
4357,steven shainberg adaptation mary gaitskill harrowing short story,2
4358,steven shainberg adaptation,3
4365,mary gaitskill,2
4368,harrowing short story,2
4376,brilliantly played,4
4381,deeply unsettling,1
4382,kim ki deok seems mind lrb emotionally least rrb adolescent audience demanding regular shocks bouts barely defensible sexual violence keep interested,1
4383,kim ki deok,2
4385,ki deok,3
4393,lrb emotionally least rrb adolescent audience demanding regular shocks bouts barely defensible sexual violence keep interested,1
4396,lrb emotionally least rrb,2
4397,emotionally least rrb,3
4398,emotionally least,2
4402,adolescent audience,2
4405,demanding regular shocks bouts barely defensible sexual violence keep interested,1
4407,regular shocks bouts barely defensible sexual violence keep interested,2
4408,regular shocks bouts,2
4410,shocks bouts,2
4413,bouts,2
4416,barely defensible sexual violence,1
4417,defensible sexual violence,2
4418,defensible,2
4419,sexual violence,2
4426,reason exist employ hollywood kids people owe favors famous parents,0
4440,employ,2
4441,hollywood kids,3
4443,people owe,2
4448,favors,2
4460,emotionally scattered film,1
4461,emotionally scattered,2
4463,whose hero gives heart dog,2
4464,whose hero,2
4467,gives heart dog,2
4474,love cinema paradiso find new scenes interesting find movie improved,2
4478,cinema paradiso find new scenes interesting find movie,2
4487,new scenes interesting,3
4495,campanella gets tone right funny middle sad middle hopeful,3
4501,gets tone,2
4503,funny middle sad middle hopeful,3
4522,amiable unfocused,1
4526,bagatelle,2
4529,like loosely connected string acting workshop exercises,2
4530,loosely connected string acting workshop exercises,2
4537,acting workshop,2
4538,exercises,2
4548,otherwise dull,1
4550,wallace gets bit heavy handed message times visual flair waxes poetic far much taste,2
4557,bit heavy handed message times,1
4560,heavy handed message times,2
4562,handed message times,2
4576,waxes poetic,2
4577,waxes,2
4579,far much taste,1
4580,far much,1
4589,funny lrb ultimately silly rrb movie,2
4590,lrb ultimately silly rrb movie,2
4591,lrb ultimately silly rrb,1
4592,lrb ultimately silly,1
4594,ultimately silly,2
4597,one thing wild film,2
4614,lots chimps blown size house,2
4628,starts mediocre spirals downward thuds bottom pool utterly incompetent conclusion,0
4638,spirals,2
4639,downward,1
4640,thuds bottom pool utterly incompetent conclusion,2
4641,thuds,1
4650,utterly incompetent,0
4665,truest,2
4666,horrendously amateurish filmmaking plainly dull visually ugly n incomprehensible,0
4667,horrendously amateurish,2
4668,horrendously,1
4679,visually ugly,1
4684,beautifully crafted engaging filmmaking attract upscale audiences hungry quality nostalgic twisty yarn keep guessing,4
4690,engaging filmmaking attract upscale audiences hungry quality nostalgic twisty yarn keep guessing,4
4691,filmmaking attract upscale audiences hungry quality nostalgic twisty yarn keep guessing,4
